"triplet_id","query_id","target_id1","target_id2"
1,2338816,2338871,2317047
2,2338816,2330684,2339602
3,2338816,2324945,2416236
4,2338816,2340743,2415852
5,2338816,2342962,2411692
6,2338816,2324425,2415852
7,2338816,2342962,2416826
8,2338816,2324945,2324425
9,2338816,2324945,2340743
10,2338816,2317047,2416826
11,2332675,2333059,2328062
12,2332675,2338275,2327415
13,2332675,2340094,2335589
14,2332675,2411533,2318754
15,2332675,2340094,2328062
16,2332675,2416855,2318876
17,2332675,2328062,2329691
18,2332675,2416883,2411533
19,2332675,2328274,2416883
20,2332675,2328062,2315889
21,2322435,2335191,2321943
22,2322435,2323290,2321213
23,2322435,2327781,2329423
24,2322435,2338054,2324906
25,2322435,2321213,2412362
26,2322435,2343632,2321213
27,2322435,2321213,2325664
28,2322435,2327781,2340842
29,2322435,2317243,2342861
30,2322435,2329421,2325664
31,2342917,2416320,2320566
32,2342917,2338235,2324613
33,2342917,2319853,2416320
34,2342917,2331593,2319853
35,2342917,2332024,2318512
36,2342917,2320566,2335477
37,2342917,2316265,2342801
38,2342917,2335999,2321533
39,2342917,2331593,2417013
40,2342917,2335999,2325098
41,2416649,2339467,2331607
42,2416649,2338421,2339467
43,2416649,2320611,2325963
44,2416649,2320611,2331607
45,2416649,2417583,2326896
46,2416649,2321647,2335312
47,2416649,2342756,2321647
48,2416649,2320445,2412339
49,2416649,2331607,2325963
50,2416649,2326859,2412339
51,2320396,2325138,2334381
52,2320396,2325138,2415509
53,2320396,2318662,2324228
54,2320396,2340952,2316648
55,2320396,2416044,2334381
56,2320396,2415436,2337238
57,2320396,2340952,2324228
58,2320396,2319253,2324228
59,2320396,2415436,2317635
60,2320396,2319236,2322010
61,2328588,2340156,2330138
62,2328588,2412701,2333925
63,2328588,2324228,2324331
64,2328588,2324331,2341916
65,2328588,2324228,2339876
66,2328588,2330138,2326045
67,2328588,2326045,2412701
68,2328588,2326070,2340156
69,2328588,2330138,2340646
70,2328588,2324331,2326450
71,2328599,2415035,2417119
72,2328599,2321077,2415318
73,2328599,2342007,2415318
74,2328599,2415035,2330696
75,2328599,2334273,2415035
76,2328599,2330696,2328040
77,2328599,2317366,2417024
78,2328599,2334273,2317222
79,2328599,2330696,2417024
80,2328599,2321077,2333644
81,2320407,2339736,2325597
82,2320407,2323452,2343276
83,2320407,2342713,2323452
84,2320407,2321566,2415581
85,2320407,2412643,2342713
86,2320407,2321566,2342713
87,2320407,2337292,2342713
88,2320407,2412643,2320010
89,2320407,2321566,2320621
90,2320407,2412342,2330647
91,2340890,2341979,2328658
92,2340890,2328119,2322307
93,2340890,2328658,2321788
94,2340890,2333169,2329113
95,2340890,2330536,2334310
96,2340890,2321788,2341979
97,2340890,2328658,2322307
98,2340890,2329290,2318412
99,2340890,2328119,2412307
100,2340890,2341979,2329290
101,2334748,2335275,2325768
102,2334748,2417002,2335274
103,2334748,2328089,2343232
104,2334748,2343477,2412762
105,2334748,2317070,2329507
106,2334748,2328089,2321782
107,2334748,2328089,2316819
108,2334748,2343282,2329507
109,2334748,2417002,2325724
110,2334748,2343282,2332322
111,2324510,2325030,2335716
112,2324510,2315692,2317185
113,2324510,2326669,2342374
114,2324510,2331915,2315692
115,2324510,2325928,2414834
116,2324510,2414834,2325030
117,2324510,2324520,2339678
118,2324510,2316307,2337415
119,2324510,2325928,2413621
120,2324510,2325928,2325030
121,2330658,2339185,2412684
122,2330658,2328663,2339185
123,2330658,2341422,2322637
124,2330658,2335334,2330517
125,2330658,2321601,2322984
126,2330658,2321601,2338810
127,2330658,2325496,2328663
128,2330658,2328663,2321601
129,2330658,2331719,2319115
130,2330658,2341422,2343465
131,2330660,2328885,2330272
132,2330660,2341401,2335707
133,2330660,2336406,2317615
134,2330660,2337331,2340178
135,2330660,2322657,2337331
136,2330660,2330272,2416589
137,2330660,2340178,2319590
138,2330660,2330272,2417154
139,2330660,2417154,2338531
140,2330660,2317615,2324151
141,2326566,2342663,2322515
142,2326566,2413750,2320525
143,2326566,2330170,2322777
144,2326566,2322515,2340764
145,2326566,2317602,2340764
146,2326566,2318000,2317602
147,2326566,2340389,2340764
148,2326566,2327824,2414777
149,2326566,2413750,2342663
150,2326566,2322515,2334098
151,2342951,2335053,2417757
152,2342951,2331349,2318367
153,2342951,2325882,2319209
154,2342951,2412290,2326998
155,2342951,2412254,2316434
156,2342951,2317735,2412254
157,2342951,2318367,2325549
158,2342951,2335053,2338028
159,2342951,2339541,2326998
160,2342951,2412078,2328698
161,2342953,2339490,2326960
162,2342953,2339490,2330375
163,2342953,2339490,2338407
164,2342953,2339951,2338407
165,2342953,2326960,2315684
166,2342953,2415528,2338407
167,2342953,2327667,2319772
168,2342953,2332527,2330817
169,2342953,2325481,2330001
170,2342953,2339490,2326475
171,2324522,2332940,2323627
172,2324522,2414300,2323497
173,2324522,2329064,2321565
174,2324522,2323497,2331177
175,2324522,2323497,2414708
176,2324522,2320634,2319853
177,2324522,2319853,2332940
178,2324522,2334480,2325833
179,2324522,2315729,2320985
180,2324522,2323497,2329064
181,2332713,2336819,2416661
182,2332713,2328968,2416661
183,2332713,2336947,2317337
184,2332713,2413262,2317345
185,2332713,2335417,2327508
186,2332713,2319256,2317345
187,2332713,2317345,2336819
188,2332713,2340280,2336947
189,2332713,2336819,2320910
190,2332713,2328968,2317345
191,2318377,2328457,2319001
192,2318377,2319001,2413726
193,2318377,2333476,2335617
194,2318377,2327512,2331599
195,2318377,2413726,2335437
196,2318377,2335437,2329788
197,2318377,2413726,2333237
198,2318377,2327512,2335437
199,2318377,2319001,2324479
200,2318377,2330898,2341051
201,2326569,2328720,2317090
202,2326569,2330797,2339512
203,2326569,2337533,2316384
204,2326569,2316376,2322664
205,2326569,2337324,2320583
206,2326569,2316376,2342975
207,2326569,2338254,2322225
208,2326569,2333136,2316376
209,2326569,2333369,2319320
210,2326569,2330797,2328720
211,2336818,2326950,2339651
212,2336818,2328174,2330404
213,2336818,2327771,2326950
214,2336818,2326770,2322034
215,2336818,2317374,2323882
216,2336818,2332737,2326770
217,2336818,2326950,2417140
218,2336818,2326770,2322033
219,2336818,2316490,2327749
220,2336818,2339651,2322033
221,2338868,2336895,2315827
222,2338868,2317776,2415296
223,2338868,2341350,2417515
224,2338868,2315827,2331284
225,2338868,2341350,2336895
226,2338868,2340951,2319468
227,2338868,2315827,2413077
228,2338868,2413077,2342410
229,2338868,2327663,2319771
230,2338868,2318218,2339510
231,2320437,2319516,2343560
232,2320437,2319516,2318779
233,2320437,2412287,2319516
234,2320437,2338885,2321603
235,2320437,2338885,2416088
236,2320437,2333666,2341428
237,2320437,2333666,2321603
238,2320437,2319516,2321085
239,2320437,2320585,2319282
240,2320437,2338885,2334490
241,2326582,2318495,2325727
242,2326582,2328873,2416704
243,2326582,2328765,2416559
244,2326582,2320456,2318495
245,2326582,2416559,2320456
246,2326582,2328873,2328765
247,2326582,2317337,2326595
248,2326582,2416559,2329996
249,2326582,2415339,2318495
250,2326582,2342580,2416843
251,2324533,2334562,2334390
252,2324533,2339523,2416010
253,2324533,2334390,2416767
254,2324533,2338237,2416767
255,2324533,2338237,2333554
256,2324533,2339523,2338237
257,2324533,2334562,2343527
258,2324533,2329708,2343163
259,2324533,2415387,2416767
