,triplet_id,test_resnet_cosine,test_sbert,test_sbert_gen,o1,o2,both,neither,o3
0,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,2.0,0.0,0.0,0.0
1,2,0.25,0.75,0.25,0.0,2.0,2.0,0.0,2.0
2,3,0.9,0.9,0.9,4.0,0.0,1.0,0.0,1.0
3,4,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
4,5,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
5,6,,,,0.0,1.0,1.0,0.0,1.0
6,7,0.5,0.5,0.5,2.0,2.0,1.0,0.0,1.0
7,8,,,,1.0,0.0,0.0,0.0,0.0
8,9,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
9,10,,,,0.0,0.0,1.0,0.0,1.0
10,11,,,,1.0,0.0,2.0,0.0,2.0
11,12,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
12,13,,,,1.0,0.0,0.0,1.0,1.0
13,14,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
14,15,0.375,0.625,0.375,2.0,1.0,1.0,0.0,1.0
15,16,,,,1.0,0.0,1.0,0.0,1.0
16,17,0.5,0.5,0.5,1.0,1.0,2.0,0.0,2.0
17,18,0.1,0.9,0.1,0.0,4.0,1.0,0.0,1.0
18,19,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0
19,20,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.0,2.0,1.0,0.0,1.0
20,21,0.8333333333333334,0.16666666666666666,0.16666666666666666,2.0,0.0,1.0,0.0,1.0
21,22,0.125,0.875,0.875,3.0,0.0,1.0,0.0,1.0
22,23,,,,0.0,0.0,1.0,0.0,1.0
23,25,,,,0.0,1.0,1.0,0.0,1.0
24,26,0.75,0.25,0.75,0.0,2.0,2.0,0.0,2.0
25,27,,,,0.0,1.0,1.0,0.0,1.0
26,28,,,,0.0,0.0,1.0,0.0,1.0
27,29,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
28,30,0.5,0.5,0.5,1.0,1.0,2.0,0.0,2.0
29,31,,,,1.0,0.0,0.0,0.0,0.0
30,32,0.625,0.625,0.625,1.0,2.0,1.0,0.0,1.0
31,33,,,,0.0,0.0,1.0,0.0,1.0
