,triplet_id,test_resnet_cosine,test_sbert,test_sbert_gen,o1,o2,both,neither,o3
0,1,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,2.0,0.0,0.0,0.0
1,2,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.0,2.0,1.0,0.0,1.0
2,3,0.875,0.875,0.875,3.0,0.0,1.0,0.0,1.0
3,4,,,,0.0,1.0,0.0,0.0,0.0
4,5,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
5,6,,,,0.0,1.0,1.0,0.0,1.0
6,7,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0
7,8,,,,1.0,0.0,0.0,0.0,0.0
8,9,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
9,10,,,,0.0,0.0,1.0,0.0,1.0
10,11,,,,1.0,0.0,0.0,0.0,0.0
11,12,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
12,13,,,,1.0,0.0,0.0,1.0,1.0
13,14,,,,1.0,0.0,0.0,0.0,0.0
14,15,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0
15,16,,,,1.0,0.0,1.0,0.0,1.0
16,17,,,,0.0,1.0,1.0,0.0,1.0
17,18,0.125,0.875,0.125,0.0,3.0,1.0,0.0,1.0
18,19,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
19,20,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.0,2.0,1.0,0.0,1.0
20,21,,,,1.0,0.0,1.0,0.0,1.0
21,22,,,,1.0,0.0,1.0,0.0,1.0
22,23,,,,0.0,0.0,1.0,0.0,1.0
23,25,,,,0.0,1.0,1.0,0.0,1.0
24,26,,,,0.0,1.0,2.0,0.0,2.0
25,27,,,,0.0,1.0,1.0,0.0,1.0
26,28,,,,0.0,0.0,1.0,0.0,1.0
27,29,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28,30,,,,1.0,0.0,2.0,0.0,2.0
29,31,,,,1.0,0.0,0.0,0.0,0.0
30,32,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,2.0,0.0,0.0,0.0
31,33,,,,0.0,0.0,1.0,0.0,1.0
32,34,,,,0.0,0.0,2.0,0.0,2.0
33,36,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,2.0,1.0,0.0,1.0
34,37,,,,1.0,0.0,1.0,1.0,2.0
35,38,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
36,39,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,2.0,0.0,0.0,0.0
37,40,,,,1.0,0.0,0.0,0.0,0.0
38,41,,,,0.0,1.0,0.0,2.0,2.0
39,42,0.5,0.0,0.0,2.0,0.0,0.0,2.0,2.0
40,43,,,,1.0,0.0,1.0,0.0,1.0
41,44,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,1.0,1.0
42,45,,,,0.0,0.0,1.0,0.0,1.0
43,46,,,,0.0,0.0,1.0,0.0,1.0
44,47,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
45,48,,,,1.0,0.0,0.0,0.0,0.0
46,50,,,,1.0,0.0,0.0,2.0,2.0
47,51,,,,1.0,0.0,1.0,0.0,1.0
48,52,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0
49,53,,,,0.0,0.0,1.0,0.0,1.0
50,55,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
51,56,,,,1.0,0.0,0.0,0.0,0.0
52,57,,,,0.0,0.0,2.0,0.0,2.0
53,58,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
54,59,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0
55,60,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
56,61,,,,1.0,0.0,0.0,0.0,0.0
57,62,,,,0.0,1.0,1.0,0.0,1.0
58,63,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
59,64,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0
60,65,,,,1.0,0.0,1.0,0.0,1.0
61,66,,,,1.0,0.0,0.0,0.0,0.0
62,67,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0
63,68,,,,0.0,1.0,0.0,0.0,0.0
64,69,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0
65,70,,,,0.0,0.0,2.0,0.0,2.0
66,71,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,2.0,0.0,0.0,0.0
67,72,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
68,73,0.25,0.75,0.75,0.0,2.0,2.0,0.0,2.0
69,74,0.8333333333333334,0.8333333333333334,0.8333333333333334,2.0,0.0,1.0,0.0,1.0
70,76,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
71,77,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0
72,78,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
73,79,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
74,80,,,,0.0,1.0,0.0,0.0,0.0
75,82,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
76,83,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
77,84,,,,1.0,0.0,0.0,1.0,1.0
78,85,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0
79,86,,,,0.0,1.0,1.0,0.0,1.0
80,87,,,,0.0,1.0,1.0,0.0,1.0
81,88,0.8333333333333334,0.16666666666666666,0.8333333333333334,2.0,0.0,1.0,0.0,1.0
82,89,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
83,90,,,,1.0,0.0,1.0,0.0,1.0
84,91,,,,0.0,0.0,0.0,2.0,2.0
85,92,,,,0.0,1.0,1.0,0.0,1.0
86,93,,,,0.0,1.0,1.0,0.0,1.0
87,94,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0
88,95,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
89,96,,,,1.0,0.0,1.0,0.0,1.0
90,97,0.125,0.875,0.125,0.0,3.0,1.0,0.0,1.0
91,98,,,,0.0,1.0,0.0,0.0,0.0
92,99,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
93,100,,,,0.0,1.0,0.0,0.0,0.0
94,101,,,,0.0,0.0,1.0,0.0,1.0
95,102,,,,0.0,1.0,1.0,0.0,1.0
96,103,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0
97,104,,,,1.0,0.0,0.0,0.0,0.0
98,105,,,,0.0,0.0,1.0,0.0,1.0
99,106,0.4,0.6,0.6,1.0,2.0,2.0,0.0,2.0
100,107,,,,1.0,0.0,1.0,0.0,1.0
101,108,0.8333333333333334,0.8333333333333334,0.8333333333333334,2.0,0.0,1.0,0.0,1.0
102,109,,,,1.0,0.0,0.0,0.0,0.0
103,110,,,,0.0,0.0,3.0,0.0,3.0
104,111,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
105,112,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
106,113,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,2.0,1.0,0.0,1.0
107,114,,,,0.0,1.0,0.0,1.0,1.0
108,115,,,,1.0,0.0,1.0,0.0,1.0
109,116,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0
110,117,,,,0.0,1.0,0.0,1.0,1.0
111,118,,,,0.0,1.0,1.0,0.0,1.0
112,119,,,,0.0,1.0,1.0,0.0,1.0
113,120,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,2.0,1.0,0.0,1.0
114,121,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
115,122,,,,1.0,0.0,3.0,0.0,3.0
116,123,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0
117,124,,,,0.0,1.0,2.0,0.0,2.0
118,125,,,,0.0,1.0,0.0,0.0,0.0
119,126,,,,1.0,0.0,0.0,0.0,0.0
120,127,,,,1.0,0.0,0.0,0.0,0.0
121,128,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,2.0,1.0,0.0,1.0
122,129,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
123,130,,,,0.0,1.0,1.0,0.0,1.0
124,131,0.16666666666666666,0.8333333333333334,0.8333333333333334,2.0,0.0,1.0,0.0,1.0
125,132,,,,1.0,0.0,0.0,0.0,0.0
126,133,,,,0.0,0.0,1.0,0.0,1.0
127,134,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
128,135,,,,0.0,0.0,0.0,1.0,1.0
129,136,0.625,0.625,0.625,2.0,0.0,1.0,1.0,2.0
130,137,,,,0.0,0.0,1.0,0.0,1.0
131,138,0.25,0.75,0.25,1.0,3.0,0.0,0.0,0.0
132,139,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
133,140,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
134,141,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
135,142,,,,0.0,1.0,1.0,1.0,2.0
136,143,0.16666666666666666,0.8333333333333334,0.8333333333333334,2.0,0.0,1.0,0.0,1.0
137,144,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
138,145,0.125,0.875,0.875,0.0,3.0,1.0,0.0,1.0
139,146,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
140,148,,,,1.0,0.0,0.0,2.0,2.0
141,149,,,,1.0,0.0,0.0,0.0,0.0
142,150,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
143,151,,,,1.0,0.0,0.0,0.0,0.0
144,152,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.0,2.0,1.0,0.0,1.0
145,153,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
146,154,,,,0.0,0.0,2.0,0.0,2.0
147,155,,,,0.0,0.0,1.0,0.0,1.0
148,156,0.875,0.875,0.125,3.0,0.0,1.0,0.0,1.0
149,157,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
150,158,,,,0.0,0.0,1.0,0.0,1.0
151,160,,,,1.0,0.0,3.0,0.0,3.0
152,161,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
153,162,,,,1.0,0.0,0.0,0.0,0.0
154,163,,,,0.0,1.0,0.0,0.0,0.0
155,164,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,2.0,1.0,0.0,1.0
156,165,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0
157,166,,,,0.0,1.0,0.0,0.0,0.0
158,167,0.8333333333333334,0.16666666666666666,0.8333333333333334,2.0,0.0,1.0,0.0,1.0
159,168,,,,1.0,0.0,0.0,0.0,0.0
160,169,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
161,170,,,,1.0,0.0,0.0,1.0,1.0
162,171,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
163,172,,,,0.0,0.0,0.0,1.0,1.0
164,173,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,1.0,0.0,0.0,0.0
165,174,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
166,176,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0
167,177,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
168,178,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
169,179,0.5,0.5,0.5,2.0,2.0,0.0,0.0,0.0
170,180,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,2.0,0.0,0.0,0.0
171,181,0.625,0.375,0.375,1.0,2.0,1.0,0.0,1.0
172,182,,,,1.0,0.0,0.0,0.0,0.0
173,183,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
174,184,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,2.0,0.0,0.0,0.0
175,185,,,,0.0,1.0,1.0,0.0,1.0
176,186,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
177,187,,,,0.0,0.0,1.0,0.0,1.0
178,189,,,,1.0,0.0,1.0,0.0,1.0
179,190,0.5,0.5,0.5,1.0,1.0,1.0,0.0,1.0
180,191,,,,1.0,0.0,0.0,0.0,0.0
181,192,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
182,193,,,,1.0,0.0,0.0,0.0,0.0
183,194,,,,0.0,1.0,0.0,2.0,2.0
184,195,0.16666666666666666,0.8333333333333334,0.16666666666666666,2.0,0.0,1.0,0.0,1.0
185,196,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
