"id","user_id","answer","triplet_id"
4,wookee3,2,6520
13,wookee3,0,6352
20,wookee3,0,706
22,wookee3,3,5386
26,wookee3,3,5004
38,wookee3,0,5909
48,wookee3,0,9537
49,wookee3,1,6771
51,wookee3,1,5907
52,wookee3,0,7852
55,wookee3,0,1721
56,wookee3,1,6103
66,wookee3,1,1891
67,wookee3,0,1399
71,wookee3,1,176
84,wookee3,1,2932
86,wookee3,0,9097
91,wookee3,0,9349
93,wookee3,0,5658
106,wookee3,0,1242
118,wookee3,0,8869
119,wookee3,0,1937
124,wookee3,0,2560
125,wookee3,1,4550
129,wookee3,1,1410
132,wookee3,1,4335
145,wookee3,0,2357
146,wookee3,0,2224
165,wookee3,1,3444
170,wookee3,1,8780
177,wookee3,1,1589
185,wookee3,0,8121
186,wookee3,0,4618
190,wookee3,0,2537
203,wookee3,0,2455
209,wookee3,3,2353
212,wookee3,0,5811
215,wookee3,1,1225
223,erin122,0,805
240,erin122,1,9202
244,erin122,0,6668
245,erin122,0,1676
247,erin122,0,3179
253,wookee3,0,7552
256,erin122,1,2032
259,erin122,0,3466
266,erin122,1,2701
269,erin122,0,914
274,erin122,0,7452
275,erin122,1,4462
279,erin122,1,642
283,erin122,2,3097
285,erin122,1,4930
292,LSW,0,3239
296,LSW,1,802
303,cnuh,1,2604
305,LSW,0,7501
308,cnuh,0,8025
315,cnuh,0,6159
319,LSW,1,6692
323,LSW,3,642
327,LSW,0,2438
329,LSW,1,3619
330,cnuh,1,8847
339,cnuh,0,6995
340,cnuh,0,5573
341,LSW,0,1151
343,cnuh,0,2572
347,cnuh,1,4618
353,LSW,0,5591
372,cnuh,1,7612
378,cnuh,0,938
381,LSW,1,4764
389,LSW,1,5635
392,LSW,0,1413
393,cnuh,1,110
396,cnuh,1,4053
399,cnuh,0,3729
401,cnuh,1,4987
403,cnuh,0,4270
405,LSW,1,7997
406,cnuh,1,7234
414,cnuh,1,2307
417,cnuh,0,2062
425,LSW,1,165
432,cnuh,1,7859
435,cnuh,1,2046
437,cnuh,0,9510
439,cnuh,1,7042
448,LSW,1,3223
453,cnuh,1,9632
460,cnuh,0,5116
479,cnuh,1,341
490,LSW,3,3629
496,LSW,1,6451
498,LSW,0,7523
502,cnuh,0,3251
503,LSW,0,7732
508,cnuh,1,135
510,LSW,1,1094
511,cnuh,0,4415
512,LSW,0,4585
520,LSW,1,163
528,LSW,0,841
530,cnuh,0,4114
534,cnuh,0,7311
535,LSW,3,4799
539,LSW,0,4595
546,cnuh,1,8448
549,cnuh,0,8510
554,hyunji,1,3902
560,cnuh,0,8134
565,hyunji,1,4
567,LSW,1,7970
577,cnuh,1,3843
578,hyunji,0,2046
585,hyunji,0,2048
588,cnuh,3,1006
592,hyunji,1,8463
595,cnuh,3,1852
600,cnuh,0,1734
608,hyunji,1,981
623,cnuh,1,4550
630,hyunji,1,4920
638,hyunji,0,6213
643,hyunji,2,1411
649,hyunji,0,3926
650,cnuh,1,9454
652,cnuh,1,2236
656,LSW,3,6343
659,LSW,1,9970
663,LSW,0,1392
664,hyunji,3,4812
677,hyunji,2,1949
682,hyunji,1,5212
685,hyunji,0,6683
686,hyunji,2,5991
693,hyunji,0,914
694,hyunji,1,6986
702,hyunji,1,9871
703,hyunji,1,692
705,LSW,0,9726
710,LSW,3,8680
715,LSW,1,5948
717,hyunji,3,5474
730,hyunji,1,1841
733,hyunji,1,4649
741,hyunji,2,1482
742,hyunji,1,2551
745,hyunji,0,939
751,hyunji,0,2398
772,hyunji,0,560
773,hyunji,0,6912
775,hyunji,0,3025
784,hyunji,1,9827
786,hyunji,2,9661
796,hyunji,0,1279
801,hyunji,2,4197
807,hyunji,1,5222
813,hyunji,1,8823
828,LSW,0,9713
830,hyunji,3,9841
832,hyunji,2,9218
835,hyunji,0,8647
838,LSW,3,7991
848,LSW,3,7481
849,hyunji,3,490
850,hyunji,0,8860
870,hyunji,0,8874
873,LSW,0,4976
885,hyunji,1,7397
890,hyunji,2,1686
891,LSW,1,4221
894,hyunji,2,110
900,hyunji,2,9172
907,hyunji,3,112
911,LSW,1,9261
914,LSW,3,9682
918,LSW,3,5295
920,LSW,0,7817
926,LSW,0,3976
928,LSW,1,7178
930,LSW,3,2011
936,LSW,1,5159
944,LSW,1,3837
952,LSW,3,8304
954,LSW,1,1828
958,LSW,1,1196
977,LSW,1,9770
981,LSW,0,8209
992,LSW,1,3413
994,LSW,1,981
995,LSW,0,2980
1009,LSW,0,9814
1010,LSW,1,1924
1018,LSW,0,350
1022,LSW,3,8934
1023,LSW,0,8068
1024,LSW,0,4020
1026,LSW,1,2032
1027,LSW,0,7254
1028,LSW,0,8782
1030,LSW,0,7560
1031,LSW,0,8069
1032,LSW,0,2114
1036,LSW,0,6697
1049,LSW,1,6696
1052,cjhan,2,3574
1056,cjhan,0,707
1063,cjhan,0,1970
1071,cjhan,2,9145
1080,cjhan,2,7967
1093,cjhan,1,932
1096,cjhan,1,9332
1110,cjhan,1,1837
1112,cjhan,1,7097
1116,cjhan,2,493
1117,cjhan,0,6860
1118,cjhan,2,1135
1122,IceAmericano,1,1395
1129,IceAmericano,1,7679
1134,IceAmericano,0,7771
1142,IceAmericano,1,1924
1145,IceAmericano,1,910
1166,IceAmericano,2,6251
1177,IceAmericano,1,5170
1180,IceAmericano,1,7341
1181,IceAmericano,0,9396
1184,IceAmericano,0,7930
1186,IceAmericano,0,7292
1198,IceAmericano,1,6309
1199,IceAmericano,0,914
1202,IceAmericano,0,6087
1203,IceAmericano,0,918
1218,IceAmericano,2,284
1237,IceAmericano,2,767
1241,IceAmericano,1,7817
1243,IceAmericano,1,4920
1245,IceAmericano,2,1072
1247,IceAmericano,2,3000
1259,IceAmericano,1,553
1260,IceAmericano,2,9099
1264,IceAmericano,2,1978
1269,IceAmericano,0,1714
1270,IceAmericano,0,183
1273,IceAmericano,1,2572
1278,IceAmericano,1,4268
1282,IceAmericano,1,4803
1284,IceAmericano,0,2604
1285,IceAmericano,0,5239
1286,IceAmericano,0,2277
1291,IceAmericano,2,8741
1293,IceAmericano,0,96
1294,IceAmericano,1,1289
1295,IceAmericano,0,7347
1296,IceAmericano,2,6154
1303,IceAmericano,1,174
1305,IceAmericano,3,5368
1309,IceAmericano,0,4960
1310,IceAmericano,0,4306
1317,IceAmericano,3,595
1318,IceAmericano,1,8664
1320,IceAmericano,0,4999
1324,IceAmericano,0,4292
1327,IceAmericano,0,5300
1329,IceAmericano,1,4851
1330,IceAmericano,0,8526
1339,IceAmericano,1,9344
1340,IceAmericano,0,6213
1344,IceAmericano,1,9349
1345,IceAmericano,3,1881
1346,IceAmericano,1,3570
1355,IceAmericano,0,4976
1359,IceAmericano,1,7306
1361,IceAmericano,3,19
1362,IceAmericano,0,2789
1366,IceAmericano,0,5909
1373,IceAmericano,1,4672
1382,IceAmericano,1,9964
1399,IceAmericano,0,5572
1404,IceAmericano,1,2580
1405,IceAmericano,2,3372
1413,IceAmericano,0,2258
1419,IceAmericano,0,5139
1421,IceAmericano,0,1374
1423,IceAmericano,0,3461
1427,IceAmericano,0,9408
1429,IceAmericano,0,3251
1432,IceAmericano,3,6586
1438,IceAmericano,1,938
1457,IceAmericano,2,341
1466,Julyeon Seo,0,8475
1469,Julyeon Seo,0,4882
1481,Julyeon Seo,1,162
1491,Julyeon Seo,0,1043
1496,Julyeon Seo,1,5955
1501,Julyeon Seo,0,613
1508,Julyeon Seo,1,9005
1513,Julyeon Seo,3,6162
1516,Julyeon Seo,3,7782
1520,Julyeon Seo,1,163
1535,Julyeon Seo,0,3143
1541,Julyeon Seo,0,1890
1556,cjhan,0,9607
1561,cjhan,1,6859
1572,cjhan,0,4990
1598,cjhan,1,204
1601,cjhan,1,3843
1608,cjhan,2,9172
