"id","user_id","answer","triplet_id"
1,wookee3,2,8050
2,wookee3,1,7630
3,wookee3,1,8965
4,wookee3,2,6520
5,wookee3,1,2669
6,wookee3,1,8572
7,wookee3,3,2891
8,wookee3,1,3399
10,wookee3,1,8733
11,wookee3,0,6946
12,wookee3,1,7263
13,wookee3,0,6352
14,wookee3,3,3651
15,wookee3,0,6036
16,wookee3,2,3864
17,wookee3,0,5397
18,wookee3,0,7896
19,wookee3,0,9818
20,wookee3,0,706
21,wookee3,0,5822
22,wookee3,3,5386
23,wookee3,0,3806
24,wookee3,0,4931
25,wookee3,1,6712
26,wookee3,3,5004
27,wookee3,2,1521
28,wookee3,3,8850
29,wookee3,1,8372
30,wookee3,1,8309
31,wookee3,0,7175
32,wookee3,1,124
33,wookee3,1,1789
34,wookee3,0,9287
35,wookee3,0,8888
36,wookee3,0,3315
37,wookee3,0,2328
38,wookee3,0,5909
39,wookee3,1,4898
40,wookee3,0,3061
41,wookee3,0,3610
42,wookee3,0,2315
43,wookee3,0,4416
44,wookee3,0,3031
45,wookee3,3,6211
46,wookee3,0,2831
47,wookee3,2,1884
48,wookee3,0,9537
49,wookee3,1,6771
50,wookee3,0,6813
51,wookee3,1,5907
52,wookee3,0,7852
53,wookee3,2,5080
54,wookee3,0,243
55,wookee3,0,1721
56,wookee3,1,6103
57,wookee3,1,9073
58,wookee3,2,3468
59,wookee3,1,3647
60,wookee3,0,6794
61,wookee3,3,5349
62,wookee3,2,9312
63,wookee3,1,71
64,wookee3,0,3077
65,wookee3,3,8417
66,wookee3,1,1891
67,wookee3,0,1399
68,wookee3,1,68
69,wookee3,1,4131
70,wookee3,0,2646
71,wookee3,1,176
72,wookee3,2,5895
73,wookee3,1,5954
74,wookee3,1,1612
75,wookee3,2,1342
76,wookee3,1,677
77,wookee3,0,7280
78,wookee3,1,8000
79,wookee3,1,4470
80,wookee3,2,9336
81,wookee3,1,3673
82,wookee3,3,3990
83,wookee3,1,7465
84,wookee3,1,2932
85,wookee3,1,2422
86,wookee3,0,9097
87,wookee3,3,441
88,wookee3,0,2893
89,wookee3,3,8172
90,wookee3,1,2190
91,wookee3,0,9349
92,wookee3,1,73
93,wookee3,0,5658
94,wookee3,0,1088
95,wookee3,0,4198
96,wookee3,0,6623
97,wookee3,1,513
98,wookee3,0,4787
99,wookee3,0,1623
100,wookee3,0,5523
101,wookee3,0,8754
102,wookee3,2,6219
103,wookee3,2,3553
104,wookee3,0,3537
105,wookee3,0,606
106,wookee3,0,1242
107,wookee3,1,5892
108,wookee3,0,8131
109,wookee3,0,1906
110,wookee3,2,4785
111,wookee3,1,1360
112,wookee3,0,9942
113,wookee3,3,8861
114,wookee3,1,9420
115,wookee3,0,6628
116,wookee3,0,1341
117,wookee3,2,3912
118,wookee3,0,8869
119,wookee3,0,1937
120,wookee3,1,3704
121,wookee3,0,377
122,wookee3,3,5644
123,wookee3,1,7803
124,wookee3,0,2560
125,wookee3,1,4550
126,wookee3,3,8027
127,wookee3,1,2166
128,wookee3,0,7368
129,wookee3,1,1410
130,wookee3,3,4689
131,wookee3,0,9174
132,wookee3,1,4335
133,wookee3,2,7671
134,wookee3,3,4539
135,wookee3,0,582
136,wookee3,0,5563
137,wookee3,0,7534
138,wookee3,1,178
139,wookee3,0,4716
140,wookee3,0,1530
141,wookee3,3,3208
142,wookee3,0,5472
143,wookee3,3,7864
144,wookee3,0,5020
145,wookee3,0,2357
146,wookee3,0,2224
147,wookee3,0,8702
148,wookee3,3,3878
149,wookee3,1,2471
150,wookee3,1,2682
151,wookee3,2,7577
152,wookee3,1,9974
153,wookee3,1,6009
154,wookee3,2,8567
155,wookee3,0,1546
156,wookee3,1,1076
157,wookee3,1,9022
158,wookee3,0,2750
159,wookee3,1,4056
160,wookee3,0,5477
161,wookee3,0,6666
162,wookee3,0,4121
163,wookee3,1,9506
164,wookee3,0,1740
165,wookee3,1,3444
166,wookee3,0,6366
167,wookee3,0,7093
168,wookee3,0,5036
169,wookee3,1,3881
170,wookee3,1,8780
171,wookee3,1,6114
172,wookee3,1,3316
173,wookee3,0,1517
174,wookee3,1,5796
175,wookee3,0,3685
176,wookee3,0,1932
177,wookee3,1,1589
178,wookee3,1,164
179,wookee3,0,2649
180,wookee3,0,7881
181,wookee3,1,9189
182,wookee3,0,8369
183,wookee3,0,1696
184,wookee3,1,5098
185,wookee3,0,8121
186,wookee3,0,4618
187,wookee3,0,633
188,wookee3,3,5010
189,wookee3,0,8250
190,wookee3,0,2537
191,wookee3,1,180
192,wookee3,0,7354
193,wookee3,1,9949
194,wookee3,0,9998
195,wookee3,0,7572
196,wookee3,0,1814
197,wookee3,1,8396
198,wookee3,1,9126
199,wookee3,3,9951
200,wookee3,1,5849
201,wookee3,1,4169
202,wookee3,1,2219
203,wookee3,0,2455
204,wookee3,3,3779
205,wookee3,3,9186
206,wookee3,1,4460
207,wookee3,2,5871
208,wookee3,2,3995
209,wookee3,3,2353
210,wookee3,1,1869
211,wookee3,3,5519
212,wookee3,0,5811
213,wookee3,2,152
214,erin122,1,1782
215,wookee3,1,1225
216,erin122,0,5138
217,erin122,1,845
218,wookee3,0,9429
219,erin122,0,9075
220,wookee3,3,7425
221,erin122,1,4402
222,wookee3,2,5112
223,erin122,0,805
224,wookee3,3,5002
225,erin122,0,1517
226,wookee3,0,7116
227,erin122,1,2408
228,erin122,1,4167
229,wookee3,0,6202
230,wookee3,1,881
231,erin122,0,8180
232,erin122,1,773
233,wookee3,1,9474
234,erin122,0,6814
235,erin122,0,1680
236,erin122,1,3790
237,wookee3,1,8876
238,wookee3,0,9986
239,wookee3,0,7243
240,erin122,1,9202
241,wookee3,0,1247
242,wookee3,1,5602
243,erin122,1,85
244,erin122,0,6668
245,erin122,0,1676
246,wookee3,3,2375
247,erin122,0,3179
248,wookee3,0,7839
249,wookee3,1,593
250,wookee3,0,7509
251,erin122,0,7139
252,erin122,1,3772
253,wookee3,0,7552
254,erin122,3,2894
255,erin122,0,3546
256,erin122,1,2032
257,erin122,0,6019
258,erin122,1,3170
259,erin122,0,3466
260,erin122,1,1943
261,erin122,0,5259
262,erin122,1,8050
263,erin122,3,7096
264,erin122,0,3333
265,erin122,3,8901
266,erin122,1,2701
267,erin122,1,6641
268,erin122,3,91
269,erin122,0,914
270,erin122,0,2518
271,erin122,0,9376
272,erin122,0,7789
273,erin122,1,4526
274,erin122,0,7452
275,erin122,1,4462
276,erin122,1,6460
277,erin122,3,9650
278,erin122,0,3292
279,erin122,1,642
280,erin122,0,8944
281,erin122,1,6827
282,erin122,0,755
283,erin122,2,3097
284,erin122,1,5516
285,erin122,1,4930
286,erin122,0,8986
287,erin122,0,2698
288,erin122,1,4940
289,erin122,0,6362
290,LSW,0,4875
291,LSW,1,6679
292,LSW,0,3239
293,LSW,0,5500
294,LSW,0,1262
295,LSW,0,8975
296,LSW,1,802
297,LSW,1,294
298,LSW,1,3281
299,LSW,1,1848
300,LSW,1,7056
301,LSW,1,138
302,LSW,0,5932
303,cnuh,1,2604
304,LSW,0,3219
305,LSW,0,7501
306,cnuh,1,7566
307,LSW,1,5803
308,cnuh,0,8025
309,LSW,0,3399
310,cnuh,1,2695
311,cnuh,1,1109
312,cnuh,1,8452
313,cnuh,1,9707
314,cnuh,0,1423
315,cnuh,0,6159
316,LSW,1,2744
317,cnuh,0,8140
318,cnuh,0,6208
319,LSW,1,6692
320,LSW,1,1650
321,cnuh,3,9643
322,cnuh,1,580
323,LSW,3,642
324,cnuh,0,5003
325,LSW,1,9631
326,cnuh,3,4640
327,LSW,0,2438
328,cnuh,0,4628
329,LSW,1,3619
330,cnuh,1,8847
331,LSW,1,2375
332,cnuh,0,9670
333,cnuh,1,8447
334,cnuh,1,7492
335,cnuh,1,4594
336,cnuh,0,647
337,LSW,0,7108
338,cnuh,1,7
339,cnuh,0,6995
340,cnuh,0,5573
341,LSW,0,1151
342,cnuh,0,274
343,cnuh,0,2572
344,LSW,0,8776
345,LSW,0,1113
346,cnuh,1,4729
347,cnuh,1,4618
348,LSW,1,8530
349,cnuh,1,6746
350,cnuh,0,7251
351,cnuh,1,1537
352,LSW,3,3204
353,LSW,0,5591
